Job Title,Business Entity ID,Full Name,Commission Percentage,Bonus,Sales Quota,Sales Year To Date,Sales Last Year
North American Sales Manager,274,"Stephen, Jiang",0.00,0.00,NULL,559698.00,0.00
Sales Representative,275,"Michael, Blythe",1.20,4100.00,300000.00,3763178.00,1750406.00
Sales Representative,276,"Linda, Mitchell",1.50,2000.00,250000.00,4251369.00,1439156.00
Sales Representative,277,"Jillian, Carson",1.50,2500.00,250000.00,3189418.00,1997186.00
Sales Representative,278,"Garrett, Vargas",1.00,500.00,250000.00,1453719.00,1620277.00
Sales Representative,279,"Tsvi, Reiter",1.00,6700.00,300000.00,2315186.00,1849641.00
Sales Representative,280,"Pamela, Ansman-Wolfe",1.00,5000.00,250000.00,1352577.00,1927059.00
Sales Representative,281,"Shu, Ito",1.00,3550.00,250000.00,2458536.00,2073506.00
Sales Representative,282,"José, Saraiva",1.50,5000.00,250000.00,2604541.00,2038235.00
Sales Representative,283,"David, Campbell",1.20,3500.00,250000.00,1573013.00,1371635.00
Sales Representative,284,"Tete, Mensa-Annan",1.90,3900.00,300000.00,1576562.00,0.00
Pacific Sales Manager,285,"Syed, Abbas",0.00,0.00,NULL,172524.00,0.00
Sales Representative,286,"Lynn, Tsoflias",1.80,5650.00,250000.00,1421811.00,2278549.00
European Sales Manager,287,"Amy, Alberts",0.00,0.00,NULL,519906.00,0.00
Sales Representative,288,"Rachel, Valdez",1.80,75.00,250000.00,1827067.00,1307950.00
Sales Representative,289,"Jae, Pak",2.00,5150.00,250000.00,4116871.00,1635823.00
Sales Representative,290,"Ranjit, Varkey Chudukatil",1.60,985.00,250000.00,3121616.00,2396540.00
